Date,Open,High,Low,Close,Adj Close,Volume,,,,
25/06/2012,121630,121825,120685,120700,120700,593,,,,
26/06/2012,120750,122620,120701,122129,122129,599,,,,
27/06/2012,122400,123577,122334,122950,122950,666,,,,
28/06/2012,122000,123435,121600,123435,123435,269,,,,
29/06/2012,124010,124950,123880,124945,124945,677,,,,
02/07/2012,124895,125495,124335,125495,125495,962,,,,
03/07/2012,125250,125719,124853,125500,125500,309,,,,
05/07/2012,125000,125525,124783,124810,124810,267,,,,
06/07/2012,124200,124230,123227,123898,123898,372,,,,
09/07/2012,123843,125475,123629,124901,124901,549,,,,
10/07/2012,125420,125500,124500,124985,124985,828,,,,
11/07/2012,125101,126549,125058,125936,125936,697,,,,
12/07/2012,125444,125924,124834,125321,125321,438,,,,
13/07/2012,125876,126715,125409,126625,126625,544,,,,
16/07/2012,126500,126650,125300,125937,125937,495,,,,
17/07/2012,126100,127753,125640,127655,127655,777,,,,
18/07/2012,127100,127988,127100,127389,127389,524,,,,
19/07/2012,127541,127775,126303,126995,126995,294,,,,
20/07/2012,126400,126400,125451,125730,125730,322,,,,
23/07/2012,124740,126250,124619,125458,125458,439,,,,
24/07/2012,125330,125744,124600,125470,125470,263,,,,
25/07/2012,125731,126309,125040,126000,126000,474,,,,
26/07/2012,127000,127676,126626,127150,127150,541,,,,
27/07/2012,127200,128040,127200,127735,127735,710,,,,
30/07/2012,127500,128109,127225,127950,127950,568,,,,
31/07/2012,127500,127732,126915,127445,127445,384,,,,
01/08/2012,127500,127903,123418,127400,127400,800,,,,
02/08/2012,126121,126699,124950,126290,126290,502,,,,
03/08/2012,127000,128538,127000,128479,128479,718,,,,
06/08/2012,129000,129040,127740,127789,127789,619,,,,
07/08/2012,128240,128575,126930,127020,127020,491,,,,
08/08/2012,127020,127184,126379,127000,127000,388,,,,
09/08/2012,127000,127498,126600,126800,126800,224,,,,
10/08/2012,126640,127250,126306,127175,127175,228,,,,
13/08/2012,127000,127612,126790,127380,127380,342,,,,
14/08/2012,127607,127915,127089,127375,127375,316,,,,
15/08/2012,127254,127780,127001,127007,127007,306,,,,
16/08/2012,127150,128252,126801,127655,127655,394,,,,
17/08/2012,127940,128880,127830,128880,128880,478,,,,
20/08/2012,128370,128615,127988,128600,128600,232,,,,
21/08/2012,128698,128803,127602,128000,128000,298,,,,
22/08/2012,127870,128876,127769,128605,128605,390,,,,
23/08/2012,128320,128397,127710,127800,127800,216,,,,
24/08/2012,127400,128234,127400,128225,128225,204,,,,
27/08/2012,128059,128624,127636,128198,128198,385,,,,
28/08/2012,128000,128315,127442,127502,127502,334,,,,
29/08/2012,126888,127137,126300,126800,126800,440,,,,
30/08/2012,126212,126425,126021,126183,126183,301,,,,
31/08/2012,126515,126950,126021,126560,126560,454,,,,
04/09/2012,126340,126654,126077,126279,126279,243,,,,
05/09/2012,126315,128000,126315,127770,127770,687,,,,
06/09/2012,128050,129597,128050,129597,129597,809,,,,
07/09/2012,129887,130039,129610,129942,129942,909,,,,
10/09/2012,129961,130717,129700,129700,129700,398,,,,
11/09/2012,130245,130367,129702,130170,130170,432,,,,
12/09/2012,129590,130540,129225,130150,130150,528,,,,
13/09/2012,129770,132851,129770,132851,132851,869,,,,
14/09/2012,132850,133789,132005,133000,133000,855,,,,
17/09/2012,132700,133101,132490,132685,132685,420,,,,
18/09/2012,132350,132898,132324,132898,132898,373,,,,
19/09/2012,132715,133810,132715,133300,133300,636,,,,
20/09/2012,132125,134205,131935,133816,133816,490,,,,
21/09/2012,134490,134892,133934,134584,134584,387,,,,
24/09/2012,133505,134535,133000,133034,133034,385,,,,
25/09/2012,133348,134075,132170,132485,132485,477,,,,
26/09/2012,132199,133590,132199,132490,132490,392,,,,
27/09/2012,133000,133000,132115,132408,132408,632,,,,
28/09/2012,132375,132707,131212,132700,132700,726,,,,
01/10/2012,132630,134285,132630,133000,133000,672,,,,
02/10/2012,133600,133911,132595,133227,133227,410,,,,
03/10/2012,133500,134460,132820,134065,134065,505,,,,
04/10/2012,134475,135725,134461,135281,135281,698,,,,
05/10/2012,135900,136100,135157,135555,135555,593,,,,
08/10/2012,135602,135915,135180,135400,135400,281,,,,
09/10/2012,135200,135700,133880,133880,133880,402,,,,
10/10/2012,133880,134115,132800,133066,133066,294,,,,
11/10/2012,134400,134400,133010,133013,133013,193,,,,
12/10/2012,133740,134327,132341,132502,132502,324,,,,
15/10/2012,132750,133855,132430,133605,133605,293,,,,
16/10/2012,134000,134970,134000,134850,134850,356,,,,
17/10/2012,134400,135849,134400,135766,135766,749,,,,
18/10/2012,135800,136345,135400,135400,135400,768,,,,
19/10/2012,135350,135423,132800,133841,133841,477,,,,
